wordCount_filtered_formatted_w,wordCount_filtered_formatted_c,wordCount_filtered_formatted_pct_c,dateIssued
Girls,2,0.51,2023-02-01
Women,2,0.51,2023-02-01
Sports,2,0.51,2023-02-01
South,2,0.51,2023-02-01
Dakota,2,0.51,2023-02-01
Jackrabbits,2,0.51,2023-02-01
Win,2,0.51,2023-02-01
Collegiate,2,0.51,2023-02-01
Athletic,2,0.51,2023-02-01
Association,2,0.51,2023-02-01
Football,2,0.51,2023-02-01
Championship,2,0.51,2023-02-01
Subdivision,2,0.51,2023-02-01
Title,2,0.51,2023-02-01
Joint,2,0.51,2023-02-01
Read,2,0.51,2023-02-01
Measures,2,0.51,2023-02-01
Essay,2,0.51,2023-02-01
Time,2,0.51,2023-02-01
Act,2,0.51,2023-02-01
Public,1,0.26,2023-02-01
Sponsors,1,0.26,2023-02-01
Adjournment,1,0.26,2023-02-01
A.m.,1,0.26,2023-02-01
Thursday,1,0.26,2023-02-01
Committees,1,0.26,2023-02-01
Meet,1,0.26,2023-02-01
-affirme,1,0.26,2023-02-01
Importance,1,0.26,2023-02-01
Religious,1,0.26,2023-02-01
Essential,1,0.26,2023-02-01
Free,1,0.26,2023-02-01
Protect,1,0.26,2023-02-01
United,1,0.26,2023-02-01
-supporte,1,0.26,2023-02-01
Day,1,0.26,2023-02-01
Raise,1,0.26,2023-02-01
Awareness,1,0.26,2023-02-01
Celebrate,1,0.26,2023-02-01
-demande,1,0.26,2023-02-01
People,1,0.26,2023-02-01
Republic,1,0.26,2023-02-01
Release,1,0.26,2023-02-01
Mark,1,0.26,2023-02-01
Swidan,1,0.26,2023-02-01
-congratulating,1,0.26,2023-02-01
Submit,1,0.26,2023-02-01
Resolutions,1,0.26,2023-02-01
Referred,1,0.26,2023-02-01
House,1,0.26,2023-02-01
Contest,1,0.26,2023-02-01
Finalists,1,0.26,2023-02-01
Remember,1,0.26,2023-02-01
Quincy,1,0.26,2023-02-01
Ramon,1,0.26,2023-02-01
Nelson,1,0.26,2023-02-01
-,1,0.26,2023-02-01
Sweatt,1,0.26,2023-02-01
Lon,1,0.26,2023-02-01
Congratulate,1,0.26,2023-02-01
School,1,0.26,2023-02-01
Amend,1,0.26,2023-02-01
Control,1,0.26,2023-02-01
Substances,1,0.26,2023-02-01
Fix,1,0.26,2023-02-01
Affordable,1,0.26,2023-02-01
Care,1,0.26,2023-02-01
Support,1,0.26,2023-02-01
Trafficking,1,0.26,2023-02-01
Modern,1,0.26,2023-02-01
Slavery,1,0.26,2023-02-01
Prevention,1,0.26,2023-02-01
Continue,1,0.26,2023-02-01
Recess,1,0.26,2023-02-01
Legislative,1,0.26,2023-02-01
Session,1,0.26,2023-02-01
Cryptocurrency,1,0.26,2023-02-01
Burma,1,0.26,2023-02-01
Student,1,0.26,2023-02-01
Limit,1,0.26,2023-02-01
Minority,1,0.26,2023-02-01
Project,1,0.26,2023-02-01
Calendar,1,0.26,2023-02-01
Majority,1,0.26,2023-02-01
Leader,1,0.26,2023-02-01
Appointment,1,0.26,2023-02-01
Acting,1,0.26,2023-02-01
President,1,0.26,2023-02-01
Pro,1,0.26,2023-02-01
Tempore,1,0.26,2023-02-01
Pledge,1,0.26,2023-02-01
Allegiance,1,0.26,2023-02-01
Prayer,1,0.26,2023-02-01
Congressional,1,0.26,2023-02-01
Authority,53,12.93,2023-01-31
Constitutional,52,12.68,2023-01-31
Single,52,12.68,2023-01-31
Subject,52,12.68,2023-01-31
Statements,50,12.2,2023-01-31
H.r.,49,11.95,2023-01-31
S.,4,0.98,2023-01-31
Additional,3,0.73,2023-01-31
H.j.,3,0.73,2023-01-31
Res,3,0.73,2023-01-31
.,3,0.73,2023-01-31
Introductory,3,0.73,2023-01-31
Statement,3,0.73,2023-01-31
Read,3,0.73,2023-01-31
Congressional,2,0.49,2023-01-31
Limited,2,0.49,2023-01-31
Joint,2,0.49,2023-01-31
Resolution,2,0.49,2023-01-31
Senate,2,0.49,2023-01-31
Referred,2,0.49,2023-01-31
President,2,0.49,2023-01-31
Business,2,0.49,2023-01-31
Appointment,2,0.49,2023-01-31
Washington,2,0.49,2023-01-31
Farewell,2,0.49,2023-01-31
Address,2,0.49,2023-01-31
Time,2,0.49,2023-01-31
Immigration,2,0.49,2023-01-31
Earmarks,1,0.24,2023-01-31
Tariff,1,0.24,2023-01-31
Sponsors,1,0.24,2023-01-31
Adjournment,1,0.24,2023-01-31
A.m.,1,0.24,2023-01-31
Wednesday,1,0.24,2023-01-31
February,1,0.24,2023-01-31
Committees,1,0.24,2023-01-31
Meet,1,0.24,2023-01-31
Submit,1,0.24,2023-01-31
Concurrent,1,0.24,2023-01-31
Resolutions,1,0.24,2023-01-31
Petition,1,0.24,2023-01-31
Memorial,1,0.24,2023-01-31
Measures,1,0.24,2023-01-31
House,1,0.24,2023-01-31
Brad,1,0.24,2023-01-31
Gioia,1,0.24,2023-01-31
Annual,1,0.24,2023-01-31
Select,1,0.24,2023-01-31
Committee,1,0.24,2023-01-31
Ethics,1,0.24,2023-01-31
Norway,1,0.24,2023-01-31
Senator,1,0.24,2023-01-31
Lankford,1,0.24,2023-01-31
Unanimous,1,0.24,2023-01-31
Consent,1,0.24,2023-01-31
Energy,1,0.24,2023-01-31
Recess,1,0.24,2023-01-31
Big,1,0.24,2023-01-31
Government,1,0.24,2023-01-31
Saint,1,0.24,2023-01-31
James,1,0.24,2023-01-31
Academy,1,0.24,2023-01-31
Trojans,1,0.24,2023-01-31
Jimmy,1,0.24,2023-01-31
Perry,1,0.24,2023-01-31
Nato,1,0.24,2023-01-31
Bristol,1,0.24,2023-01-31
Bay,1,0.24,2023-01-31
Judicial,1,0.24,2023-01-31
Minority,1,0.24,2023-01-31
Leader,1,0.24,2023-01-31
Acting,1,0.24,2023-01-31
Pro,1,0.24,2023-01-31
Tempore,1,0.24,2023-01-31
Pledge,1,0.24,2023-01-31
Allegiance,1,0.24,2023-01-31
Prayer,1,0.24,2023-01-31
Constitutional,26,8.12,2023-01-30
Authority,26,8.12,2023-01-30
Single,26,8.12,2023-01-30
Subject,26,8.12,2023-01-30
Statements,25,7.81,2023-01-30
H.r.,25,7.81,2023-01-30
S.,5,1.56,2023-01-30
House,4,1.25,2023-01-30
Introductory,4,1.25,2023-01-30
Statement,4,1.25,2023-01-30
Additional,3,0.94,2023-01-30
Adjournment,3,0.94,2023-01-30
Recognize,3,0.94,2023-01-30
Certain,3,0.94,2023-01-30
Standing,3,0.94,2023-01-30
Representatives,3,0.94,2023-01-30
Act,3,0.94,2023-01-30
Session,3,0.94,2023-01-30
Congressional,2,0.62,2023-01-30
Limited,2,0.62,2023-01-30
Public,2,0.62,2023-01-30
American,2,0.62,2023-01-30
Honor,2,0.62,2023-01-30
Elect,2,0.62,2023-01-30
Committees,2,0.62,2023-01-30
Committee,2,0.62,2023-01-30
Recess,2,0.62,2023-01-30
Joint,2,0.62,2023-01-30
Resolution,2,0.62,2023-01-30
Senate,2,0.62,2023-01-30
Measures,2,0.62,2023-01-30
Remember,2,0.62,2023-01-30
Tribute,2,0.62,2023-01-30
Executive,2,0.62,2023-01-30
Calendar,2,0.62,2023-01-30
Earmarks,1,0.31,2023-01-30
Tariff,1,0.31,2023-01-30
Sponsors,1,0.31,2023-01-30
Private,1,0.31,2023-01-30
Bills,1,0.31,2023-01-30
Etc,1,0.31,2023-01-30
Scourge,1,0.31,2023-01-30
Support,1,0.31,2023-01-30
Great,1,0.31,2023-01-30
Lakes,1,0.31,2023-01-30
Congratulate,1,0.31,2023-01-30
Mishawaka,1,0.31,2023-01-30
Hilda,1,0.31,2023-01-30
Ymca,1,0.31,2023-01-30
Centre,1,0.31,2023-01-30
County,1,0.31,2023-01-30
Anti,1,0.31,2023-01-30
Enact,1,0.31,2023-01-30
Flood,1,0.31,2023-01-30
Appointment,1,0.31,2023-01-30
United,1,0.31,2023-01-30
Nato,1,0.31,2023-01-30
Parliamentary,1,0.31,2023-01-30
Rank,1,0.31,2023-01-30
Journal,1,0.31,2023-01-30
Financial,1,0.31,2023-01-30
Exploitation,1,0.31,2023-01-30
Prevention,1,0.31,2023-01-30
Speaker,1,0.31,2023-01-30
Pro,1,0.31,2023-01-30
Expand,1,0.31,2023-01-30
Rural,1,0.31,2023-01-30
Job,1,0.31,2023-01-30
Creators,1,0.31,2023-01-30
Confirmation,1,0.31,2023-01-30
A.m.,1,0.31,2023-01-30
Police,1,0.31,2023-01-30
America,1,0.31,2023-01-30
Tuesday,1,0.31,2023-01-30
January,1,0.31,2023-01-30
Submit,1,0.31,2023-01-30
Concurrent,1,0.31,2023-01-30
Resolutions,1,0.31,2023-01-30
Referred,1,0.31,2023-01-30
Cody,1,0.31,2023-01-30
Woolston,1,0.31,2023-01-30
Eric,1,0.31,2023-01-30
Goldschmidt,1,0.31,2023-01-30
Gerald,1,0.31,2023-01-30
Vandewalle,1,0.31,2023-01-30
Qubilah,1,0.31,2023-01-30
Jones,1,0.31,2023-01-30
Amy,1,0.31,2023-01-30
Button,1,0.31,2023-01-30
Renz,1,0.31,2023-01-30
Maya,1,0.31,2023-01-30
Ashwal,1,0.31,2023-01-30
Pearson,1,0.31,2023-01-30
Riddle,1,0.31,2023-01-30
Jr,1,0.31,2023-01-30
Flying,1,0.31,2023-01-30
Yankees,1,0.31,2023-01-30
Stennis,1,0.31,2023-01-30
Service,1,0.31,2023-01-30
Sergeant,1,0.31,2023-01-30
John,1,0.31,2023-01-30
O'neal,1,0.31,2023-01-30
Rucker,1,0.31,2023-01-30
Legislative,1,0.31,2023-01-30
Zakheim,1,0.31,2023-01-30
Nomination,1,0.31,2023-01-30
Unanimous,1,0.31,2023-01-30
Consent,1,0.31,2023-01-30
Classified,1,0.31,2023-01-30
Law,1,0.31,2023-01-30
Enforcement,1,0.31,2023-01-30
De,1,0.31,2023-01-30
Escalation,1,0.31,2023-01-30
Training,1,0.31,2023-01-30
Reforms,1,0.31,2023-01-30
Energy,1,0.31,2023-01-30
Minority,1,0.31,2023-01-30
Memberships,1,0.31,2023-01-30
Tyre,1,0.31,2023-01-30
Majority,1,0.31,2023-01-30
Business,1,0.31,2023-01-30
Leader,1,0.31,2023-01-30
Time,1,0.31,2023-01-30
Pledge,1,0.31,2023-01-30
Allegiance,1,0.31,2023-01-30
Prayer,1,0.31,2023-01-30
Constitutional,30,9.17,2023-01-27
Authority,30,9.17,2023-01-27
Single,30,9.17,2023-01-27
Subject,30,9.17,2023-01-27
H.r.,30,9.17,2023-01-27
Statements,28,8.56,2023-01-27
Honor,4,1.22,2023-01-27
Strategic,4,1.22,2023-01-27
Holocaust,3,0.92,2023-01-27
Remembrance,3,0.92,2023-01-27
Day,3,0.92,2023-01-27
Oath,2,0.61,2023-01-27
Access,2,0.61,2023-01-27
Adjournment,2,0.61,2023-01-27
January,2,0.61,2023-01-27
Support,2,0.61,2023-01-27
Working,2,0.61,2023-01-27
Families,2,0.61,2023-01-27
Commonsense,2,0.61,2023-01-27
Solution,2,0.61,2023-01-27
California,2,0.61,2023-01-27
Recognize,2,0.61,2023-01-27
National,2,0.61,2023-01-27
International,2,0.61,2023-01-27
Board,2,0.61,2023-01-27
Shootings,2,0.61,2023-01-27
Response,2,0.61,2023-01-27
Act,2,0.61,2023-01-27
Speaker,2,0.61,2023-01-27
Pro,2,0.61,2023-01-27
Additional,1,0.31,2023-01-27
Sponsors,1,0.31,2023-01-27
Private,1,0.31,2023-01-27
Public,1,0.31,2023-01-27
Bills,1,0.31,2023-01-27
Etc,1,0.31,2023-01-27
Classified,1,0.31,2023-01-27
Resident,1,0.31,2023-01-27
Commissioner,1,0.31,2023-01-27
Leave,1,0.31,2023-01-27
Absence,1,0.31,2023-01-27
Friday,1,0.31,2023-01-27
Monday,1,0.31,2023-01-27
Remember,1,0.31,2023-01-27
Harry,1,0.31,2023-01-27
Frisch,1,0.31,2023-01-27
Grave,1,0.31,2023-01-27
Time,1,0.31,2023-01-27
Social,1,0.31,2023-01-27
Security,1,0.31,2023-01-27
Gun,1,0.31,2023-01-27
Violence,1,0.31,2023-01-27
Heartland,1,0.31,2023-01-27
Honoring,1,0.31,2023-01-27
Henry,1,0.31,2023-01-27
Berg,1,0.31,2023-01-27
Brousseau,1,0.31,2023-01-27
Reynolds,1,0.31,2023-01-27
Sr,1,0.31,2023-01-27
Oroville,1,0.31,2023-01-27
Know,1,0.31,2023-01-27
Fight,1,0.31,2023-01-27
Reproductive,1,0.31,2023-01-27
Branden,1,0.31,2023-01-27
Estorffe,1,0.31,2023-01-27
Mentor,1,0.31,2023-01-27
Month,1,0.31,2023-01-27
War,1,0.31,2023-01-27
Ukraine,1,0.31,2023-01-27
Forget,1,0.31,2023-01-27
Bad,1,0.31,2023-01-27
School,1,0.31,2023-01-27
Energy,1,0.31,2023-01-27
Women,1,0.31,2023-01-27
Brantley,1,0.31,2023-01-27
County,1,0.31,2023-01-27
Condemn,1,0.31,2023-01-27
Azerbaijan,1,0.31,2023-01-27
Auschwitz,1,0.31,2023-01-27
Concentration,1,0.31,2023-01-27
Direct,1,0.31,2023-01-27
Attack,1,0.31,2023-01-27
Petroleum,1,0.31,2023-01-27
Reserve,1,0.31,2023-01-27
Appointment,1,0.31,2023-01-27
Member,1,0.31,2023-01-27
Smithsonian,1,0.31,2023-01-27
Democratic,1,0.31,2023-01-27
Moment,1,0.31,2023-01-27
Half,1,0.31,2023-01-27
Moon,1,0.31,2023-01-27
Bay,1,0.31,2023-01-27
Provide,1,0.31,2023-01-27
Select,1,0.31,2023-01-27
Chinese,1,0.31,2023-01-27
Authorize,1,0.31,2023-01-27
Understand,1,0.31,2023-01-27
Prohibitive,1,0.31,2023-01-27
Continue,1,0.31,2023-01-27
Choose,1,0.31,2023-01-27
Try,1,0.31,2023-01-27
Bring,1,0.31,2023-01-27
Production,1,0.31,2023-01-27
Republican,1,0.31,2023-01-27
Economic,1,0.31,2023-01-27
Hurts,1,0.31,2023-01-27
Lou,1,0.31,2023-01-27
Moore,1,0.31,2023-01-27
Strong,1,0.31,2023-01-27
Striking,1,0.31,2023-01-27
Post,1,0.31,2023-01-27
Gazette,1,0.31,2023-01-27
Brown,1,0.31,2023-01-27
Congratulate,1,0.31,2023-01-27
Iowa,1,0.31,2023-01-27
Biodiesel,1,0.31,2023-01-27
Mass,1,0.31,2023-01-27
New,1,0.31,2023-01-27
Pledge,1,0.31,2023-01-27
Allegiance,1,0.31,2023-01-27
Journal,1,0.31,2023-01-27
Prayer,1,0.31,2023-01-27
Designation,1,0.31,2023-01-27
Senate,1,0.31,2023-01-27
Authority,44,10.6,2023-01-26
Constitutional,43,10.36,2023-01-26
Single,43,10.36,2023-01-26
Subject,43,10.36,2023-01-26
H.r.,43,10.36,2023-01-26
Statements,41,9.88,2023-01-26
Senate,8,1.93,2023-01-26
S.,6,1.45,2023-01-26
Resolution,6,1.45,2023-01-26
National,5,1.2,2023-01-26
Additional,3,0.72,2023-01-26
Introductory,3,0.72,2023-01-26
Statement,3,0.72,2023-01-26
Referred,3,0.72,2023-01-26
Measures,3,0.72,2023-01-26
Monday,2,0.48,2023-01-26
January,2,0.48,2023-01-26
Read,2,0.48,2023-01-26
Time,2,0.48,2023-01-26
Catholic,2,0.48,2023-01-26
Schools,2,0.48,2023-01-26
United,2,0.48,2023-01-26
University,2,0.48,2023-01-26
Georgia,2,0.48,2023-01-26
Bulldogs,2,0.48,2023-01-26
Win,2,0.48,2023-01-26
Collegiate,2,0.48,2023-01-26
Athletic,2,0.48,2023-01-26
Association,2,0.48,2023-01-26
College,2,0.48,2023-01-26
Football,2,0.48,2023-01-26
Championship,2,0.48,2023-01-26
Concurrent,2,0.48,2023-01-26
Joint,2,0.48,2023-01-26
President,2,0.48,2023-01-26
Remember,2,0.48,2023-01-26
Business,2,0.48,2023-01-26
Welcome,2,0.48,2023-01-26
Chaplain,2,0.48,2023-01-26
Sponsors,1,0.24,2023-01-26
H.j.,1,0.24,2023-01-26
Res,1,0.24,2023-01-26
.,1,0.24,2023-01-26
Adjournment,1,0.24,2023-01-26
Pages,1,0.24,2023-01-26
Support,1,0.24,2023-01-26
Congratulate,1,0.24,2023-01-26
Ukraine,1,0.24,2023-01-26
Privileges,1,0.24,2023-01-26
Floor,1,0.24,2023-01-26
Committees,1,0.24,2023-01-26
Meet,1,0.24,2023-01-26
Bravery,1,0.24,2023-01-26
Courage,1,0.24,2023-01-26
Resolve,1,0.24,2023-01-26
Women,1,0.24,2023-01-26
Men,1,0.24,2023-01-26
Iran,1,0.24,2023-01-26
Demonstrate,1,0.24,2023-01-26
Risk,1,0.24,2023-01-26
Speak,1,0.24,2023-01-26
-amending,1,0.24,2023-01-26
Rule,1,0.24,2023-01-26
Prohibit,1,0.24,2023-01-26
Considered,1,0.24,2023-01-26
-supporte,1,0.24,2023-01-26
-congratulating,1,0.24,2023-01-26
Submit,1,0.24,2023-01-26
Resolutions,1,0.24,2023-01-26
Nomination,1,0.24,2023-01-26
Committee,1,0.24,2023-01-26
House,1,0.24,2023-01-26
Kaylee,1,0.24,2023-01-26
Richard,1,0.24,2023-01-26
Samantha,1,0.24,2023-01-26
Grenier,1,0.24,2023-01-26
Chile,1,0.24,2023-01-26
Argentina,1,0.24,2023-01-26
Larry,1,0.24,2023-01-26
Sr,1,0.24,2023-01-26
Ann,1,0.24,2023-01-26
Naranjo,1,0.24,2023-01-26
Stalking,1,0.24,2023-01-26
Awareness,1,0.24,2023-01-26
Month,1,0.24,2023-01-26
Continue,1,0.24,2023-01-26
Chair,1,0.24,2023-01-26
Legislative,1,0.24,2023-01-26
Session,1,0.24,2023-01-26
Morning,1,0.24,2023-01-26
Leader,1,0.24,2023-01-26
Guantanamo,1,0.24,2023-01-26
Bay,1,0.24,2023-01-26
Democratic,1,0.24,2023-01-26
Legislation,1,0.24,2023-01-26
Minority,1,0.24,2023-01-26
Calendar,1,0.24,2023-01-26
En,1,0.24,2023-01-26
Bloc,1,0.24,2023-01-26
300,1,0.24,2023-01-26
Majority,1,0.24,2023-01-26
Appointment,1,0.24,2023-01-26
Acting,1,0.24,2023-01-26
Pro,1,0.24,2023-01-26
Tempore,1,0.24,2023-01-26
Pledge,1,0.24,2023-01-26
Allegiance,1,0.24,2023-01-26
Prayer,1,0.24,2023-01-26
Congressional,1,0.24,2023-01-26
Senate,22,12.15,2023-01-03
President,10,5.52,2023-01-03
Resolution,9,4.97,2023-01-03
House,7,3.87,2023-01-03
Pro,6,3.31,2023-01-03
Representatives,5,2.76,2023-01-03
Congress,5,2.76,2023-01-03
United,5,2.76,2023-01-03
Effective,4,2.21,2023-01-03
Legal,4,2.21,2023-01-03
Counsel,4,2.21,2023-01-03
118th,3,1.66,2023-01-03
Hour,3,1.66,2023-01-03
Daily,3,1.66,2023-01-03
Meeting,3,1.66,2023-01-03
Assembled,3,1.66,2023-01-03
January,3,1.66,2023-01-03
Ben,3,1.66,2023-01-03
Sasse,3,1.66,2023-01-03
Adjournment,2,1.1,2023-01-03
Clerk,2,1.1,2023-01-03
Congressional,2,1.1,2023-01-03
Oath,2,1.1,2023-01-03
Unanimous,2,1.1,2023-01-03
Deputy,2,1.1,2023-01-03
Appointment,2,1.1,2023-01-03
Notify,2,1.1,2023-01-03
Elect,2,1.1,2023-01-03
Patty,2,1.1,2023-01-03
Murray,2,1.1,2023-01-03
Washington,2,1.1,2023-01-03
Inform,2,1.1,2023-01-03
Quorum,2,1.1,2023-01-03
Business,2,1.1,2023-01-03
Friday,2,1.1,2023-01-03
117th,2,1.1,2023-01-03
Speaker,1,0.55,2023-01-03
Remember,1,0.55,2023-01-03
Mike,1,0.55,2023-01-03
Mansfield,1,0.55,2023-01-03
Minority,1,0.55,2023-01-03
Damar,1,0.55,2023-01-03
Hamlin,1,0.55,2023-01-03
Rule,1,0.55,2023-01-03
S.,1,0.55,2023-01-03
Res,1,0.55,2023-01-03
.,1,0.55,2023-01-03
Fix,1,0.55,2023-01-03
Establish,1,0.55,2023-01-03
Leader,1,0.55,2023-01-03
Time,1,0.55,2023-01-03
Senators,1,0.55,2023-01-03
Majority,1,0.55,2023-01-03
Nomination,1,0.55,2023-01-03
Returned,1,0.55,2023-01-03
Monday,1,0.55,2023-01-03
-notifying,1,0.55,2023-01-03
-to,1,0.55,2023-01-03
Submit,1,0.55,2023-01-03
Concurrent,1,0.55,2023-01-03
Resolutions,1,0.55,2023-01-03
Enrol,1,0.55,2023-01-03
Presented,1,0.55,2023-01-03
Held,1,0.55,2023-01-03
Received,1,0.55,2023-01-03
Referred,1,0.55,2023-01-03
Consent,1,0.55,2023-01-03
Jinks,1,0.55,2023-01-03
Rogers,1,0.55,2023-01-03
Holton,1,0.55,2023-01-03
Marcy,1,0.55,2023-01-03
Kaptur,1,0.55,2023-01-03
Farewell,1,0.55,2023-01-03
Mitch,1,0.55,2023-01-03
Election,1,0.55,2023-01-03
Pledge,1,0.55,2023-01-03
Allegiance,1,0.55,2023-01-03
Prayer,1,0.55,2023-01-03
Senate,45,17.05,2022-10-11
Amendment,35,13.26,2022-10-11
Statement,14,5.3,2022-10-11
Constitutional,13,4.92,2022-10-11
Authority,13,4.92,2022-10-11
H.r.,13,4.92,2022-10-11
Resolution,9,3.41,2022-10-11
House,4,1.52,2022-10-11
Additional,3,1.14,2022-10-11
Adjournment,3,1.14,2022-10-11
October,3,1.14,2022-10-11
Submit,3,1.14,2022-10-11
Measures,3,1.14,2022-10-11
Appointment,2,0.76,2022-10-11
S.,2,0.76,2022-10-11
Pledge,2,0.76,2022-10-11
Allegiance,2,0.76,2022-10-11
Prayer,2,0.76,2022-10-11
Representatives,2,0.76,2022-10-11
Marine,2,0.76,2022-10-11
Corps,2,0.76,2022-10-11
Reserve,2,0.76,2022-10-11
Celebrate,2,0.76,2022-10-11
National,2,0.76,2022-10-11
Filipino,2,0.76,2022-10-11
Authorize,2,0.76,2022-10-11
Testimony,2,0.76,2022-10-11
United,2,0.76,2022-10-11
V.,2,0.76,2022-10-11
Joint,2,0.76,2022-10-11
Referred,2,0.76,2022-10-11
Business,2,0.76,2022-10-11
Sponsors,1,0.38,2022-10-11
Public,1,0.38,2022-10-11
Bills,1,0.38,2022-10-11
Etc,1,0.38,2022-10-11
Member,1,0.38,2022-10-11
Board,1,0.38,2022-10-11
Harry,1,0.38,2022-10-11
Truman,1,0.38,2022-10-11
Scholarship,1,0.38,2022-10-11
Foundation,1,0.38,2022-10-11
